,user_name,user_nfollower,user_total_likes,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
0,2chijbell,45.9K,826.8K,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 12:07:05+07:00,2025-06-28 01:36:22+07:00,00:15,1.2M,22.2K,276,269,771,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,nhạc nền - 𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,15.2K videos,𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,False
1,2chijbell,47.2K,856.4K,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 12:07:05+07:00,2025-06-29 23:04:27+07:00,00:15,1.7M,31.4K,329,379,1083,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,nhạc nền - 𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,16.1K videos,𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,False
2,2chijbell,47.7K,866.4K,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 12:07:05+07:00,2025-07-01 07:14:48+07:00,00:15,1.8M,32.4K,347,401,1108,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,,,,False
3,2chijbell,45.9K,826.8K,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-26 20:06:29+07:00,2025-06-28 01:36:06+07:00,00:12,11.3K,283,13,8,15,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,tien dat,6083 videos,tien dat,False
4,2chijbell,47.2K,856.4K,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-26 20:06:29+07:00,2025-06-29 23:04:02+07:00,00:12,16.5K,337,14,15,21,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,tien dat,6093 videos,tien dat,False
5,2chijbell,47.7K,866.4K,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-26 20:06:29+07:00,2025-07-01 07:14:24+07:00,00:12,17.9K,353,14,16,23,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,,,,False
6,2chijbell,45.9K,826.8K,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 10:14:02+07:00,2025-06-28 01:35:50+07:00,00:17,21.3K,704,35,20,56,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20K videos,Phạm Thanh Nhã ( PTN ),False
7,2chijbell,47.2K,856.4K,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 10:14:02+07:00,2025-06-29 23:03:35+07:00,00:17,53.2K,1414,138,54,127,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20K videos,Phạm Thanh Nhã ( PTN ),False
8,2chijbell,47.7K,866.4K,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 10:14:02+07:00,2025-07-01 07:14:03+07:00,00:17,58.1K,1518,168,59,140,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20K videos,Phạm Thanh Nhã ( PTN ),False
9,2chijbell,45.9K,826.8K,7520490182991187218,Đi biển thì nên mặc auto màu trắng để có ảnh xinh mang về nha mấy bà uii,2025-06-27 12:02:49+07:00,2025-06-28 01:35:34+07:00,00:13,7697,242,27,15,9,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520490182991187218,7.402251592478543e+18,nhạc nền - nhim ₍ ᐢ.ˬ.ᐢ₎˚୨୧,2595 videos,nhím ₍ ᐢ.ˬ.ᐢ₎˚୨୧,False
