,user_name,topic
0,_meowmeow18_,['health']
1,_thanhdung85,['mom_and_baby']
2,aloynhunghe,['health']
3,amypham2159,['food']
4,annaphuonghang_,['mom_and_baby']
5,apinvy,['beauty']
6,baongoc85review,['beauty']
7,becunreview12,['food']
8,billreview_0105,['tech_and_household']
9,bon.yeume,['mom_and_baby']
10,bounreview,['tech_and_household']
11,buithuytrangne,['mom_and_baby']
12,cakhongmap,['beauty']
13,camquayphim,['tech_and_household']
14,chanhealthy,['health']
15,chinchin980322,[nan]
16,chowunboxing,['beauty']
17,chucaofood,['food']
18,chukatureview,['beauty']
20,crushing.crunchy_,['mom_and_baby']
22,dangminhreview,['tech_and_household']
23,danphuongreview,['mom_and_baby']
24,daophantutrinh,['health']
25,decor_pc,['tech_and_household']
26,do.hoang.quan,['food']
27,dt.hacks,['tech_and_household']
28,dtuanh02,['beauty']
29,ducdongian.rv,['health']
30,dungomachi,['tech_and_household']
31,duongdeofficial,['tech_and_household']
32,gemsongnghe,['tech_and_household']
33,giadinhduahau07,['mom_and_baby']
34,giadinhmilkne,"['mom_and_baby', 'health']"
35,giadinhrisa,['health']
36,gialinhok,['mom_and_baby']
37,giangruby37,['mom_and_baby']
38,goovietnam,['food']
39,haiphuongbathao,['beauty']
40,halinh_review_dobau,['mom_and_baby']
41,hanhvt0711,['beauty']
42,hanhvu996,"['mom_and_baby', 'health']"
43,hanmo99,['tech_and_household']
44,haureview99,['tech_and_household']
45,hienpunnie,['tech_and_household']
46,hieuc0nsau,['beauty']
47,hloanphxx,['beauty']
48,hnhung.2911,['mom_and_baby']
49,hoangannn,['food']
50,hoanglut,['tech_and_household']
51,hoangtrang225,"['mom_and_baby', 'health']"
52,hoayogi,['mom_and_baby']
53,hung.rv,['tech_and_household']
54,huongcom26,['health']
55,huyenmiko,['health']
56,huynhtu150797,['tech_and_household']
57,huyquang.2000,['health']
58,iam_vietbo,['health']
59,iamjayden94,['health']
60,kamuimammam,['food']
61,kellyhuynh.85,['food']
62,khangcanreview,['tech_and_household']
63,khanhhuyen_1311,"['tech_and_household', 'health']"
64,khanhtra243,['beauty']
65,khocongnghe,['tech_and_household']
66,kidkid2908,['mom_and_baby']
67,kim.luyen_laplalaplanh,['beauty']
68,la.nhiday,['health']
69,lethituyetnghi,"['beauty', 'food', 'tech_and_household', 'health']"
70,lieulunglinh9,['food']
71,lilymyanhhouse,"['mom_and_baby', 'beauty']"
72,linhh_han,"['health', 'beauty']"
73,linhhaman1507,['food']
74,linhnhim86,"['tech_and_household', 'health']"
75,loctomo9,['tech_and_household']
76,loncungdautay245,['mom_and_baby']
77,lovely_mother_pig,"['mom_and_baby', 'health']"
78,lucie.tuvy68,['beauty']
79,lucnguyencris,['health']
80,luongthingoctram99,['health']
81,maiyen3366,['mom_and_baby']
82,me_sa_cody_1725,['mom_and_baby']
83,mebinreview1,"['mom_and_baby', 'health']"
84,mecunmiu06,"['food', 'tech_and_household', 'health']"
85,mehanaxinh,"['mom_and_baby', 'health']"
86,mei.mei.oi,['tech_and_household']
87,meimei8866,['mom_and_baby']
88,mekemsocmo161,"['mom_and_baby', 'health']"
89,memamgao,['mom_and_baby']
90,meminne96,['mom_and_baby']
91,memit6_6,['health']
92,menhimreview,['mom_and_baby']
93,menhoilamhet,['mom_and_baby']
94,meowreview38,['mom_and_baby']
95,meshushi121,"['mom_and_baby', 'health']"
96,mesudauiu,['mom_and_baby']
97,metombongtep,['mom_and_baby']
98,mieriviu247,['beauty']
99,mitao1992,['mom_and_baby']
100,mnhi_0,['beauty']
101,mocthanh07,"['mom_and_baby', 'health']"
102,mr.cunghe,['food']
103,muagi.reviewdo,['tech_and_household']
104,muasamre,['tech_and_household']
105,mukbangwithna,['food']
106,mya_house,['mom_and_baby']
107,namoinam,['tech_and_household']
108,nanh.mai,['food']
109,naxinh2022,['health']
110,ngane232,['health']
111,nganguyen9696,['mom_and_baby']
112,ngminhhoang131102,['health']
113,ngocanhh2666,"['mom_and_baby', 'health']"
114,ngockhanh_review,['beauty']
115,ngocruby89hn,['health']
116,nguyenbinhh.220,['health']
117,nguyenly_2302,['mom_and_baby']
118,nguyenlytd252,"['mom_and_baby', 'health']"
119,nguyennhat.1008,['tech_and_household']
120,nguyenvo7997,['tech_and_household']
121,ngxcnguyen04,['tech_and_household']
122,nhabibo16,['mom_and_baby']
123,nhanphuongchixu,['mom_and_baby']
124,nhatranbeautylife0603,['beauty']
125,ohnanareview,['health']
127,oilinhday,['beauty']
129,p.vzien08,['health']
130,phanhnguyensvm,['mom_and_baby']
131,phongka173,"['tech_and_household', 'health']"
132,phongsubi98,['tech_and_household']
133,phthuy3011,['mom_and_baby']
134,phukiengiare64,"['mom_and_baby', 'health']"
136,plin_minnie13,['beauty']
137,ptahyew,['beauty']
138,quynh.chia.se,['tech_and_household']
139,quynhmaioanh,['mom_and_baby']
140,quynhquynhreview2329,['mom_and_baby']
141,rosean_24,['tech_and_household']
142,sankii220502,['beauty']
143,saovaynghi,['health']
144,sara12102016,['health']
145,sssssoulna,['beauty']
146,susuunbox,['beauty']
147,tamesamsim,"['mom_and_baby', 'health']"
148,taplamreview00,['beauty']
149,tasee_tasee,['beauty']
150,teoemthonha,['tech_and_household']
151,thaison0420,['mom_and_baby']
152,thanh.pahn,['tech_and_household']
153,thanhha160822,['mom_and_baby']
154,thanhmai081218,"['mom_and_baby', 'health']"
155,thanhnamlx93,['health']
156,thaotien_family24,"['mom_and_baby', 'health']"
157,thetrinh_review,['tech_and_household']
158,thuminhkt,['mom_and_baby']
159,thutiensinh68,['tech_and_household']
161,thuyjenjenletsgo,['mom_and_baby']
163,tienmynee,['beauty']
164,tieubachtho199,"['tech_and_household', 'beauty']"
165,tieuyen5592,['mom_and_baby']
166,tintinn078,['food']
167,tolatramyday,['health']
168,tom.chutrue,['tech_and_household']
170,tramtram_95,"['mom_and_baby', 'health']"
171,trang.pham.1703,['mom_and_baby']
172,trangdaisy_review,"['tech_and_household', 'mom_and_baby', 'health']"
174,trucdao14.09,['beauty']
175,truong.ngoclan9x,['health']
176,tuanngocday,['tech_and_household']
177,tuannguyen170221,['tech_and_household']
178,tuhuyen2681,['health']
180,tunauan68,['food']
181,tuytching04,['beauty']
183,vyiiee03,['beauty']
184,vzy0501,['tech_and_household']
185,winnifamily,['mom_and_baby']
187,xinhxinh2414,['health']
188,yenncd_review,['tech_and_household']
189,yennguyenalicia,['health']
190,yenniiereview,['beauty']
191,yenxu984,['beauty']
192,ynhien2411,"['tech_and_household', 'health']"
