,user_name,topic
0,2chijbell,['Fashion']
1,_babymelrz,['Beauty']
2,_bbhk18,['Fashion']
3,_chau.ank_,['Beauty']
4,_halinhtran_,['Beauty']
5,_khanhlinhh1804_,['Beauty']
6,_meowmeow18_,['health']
7,_milourking,['Beauty']
8,_nhpa92_,['Beauty']
9,_pghihi,['Beauty']
10,_thanhdung85,['mom_and_baby']
11,_thanhthuy.hhvn_,['Fashion']
12,_tradangditam,['Beauty']
13,_ttb_,['Fashion']
14,aifuongg,['Beauty']
15,aisha.wyn,['Beauty']
16,aloynhunghe,['health']
17,amypham2159,['food']
19,anhthw541,['Fashion']
20,annaphuonghang_,['mom_and_baby']
21,anphuongtruong,['Fashion']
22,aodai_forher,['Fashion']
23,aophitofthuyn,['Fashion']
24,apinvy,['beauty']
25,bachluuduong,['Fashion']
26,baokhuyensusan,['Beauty']
27,baongoc85review,['beauty']
28,baothichlammau,['Beauty']
29,bbyvikute,['Beauty']
30,bchou_11,['Beauty']
31,becunreview12,['food']
33,bemap1234h,['Beauty']
34,billreview_0105,['tech_and_household']
35,blmhuong,['Fashion']
36,bon.yeume,['mom_and_baby']
37,bon_bosicula,['Beauty']
38,bounreview,['tech_and_household']
39,buithuytrangne,['mom_and_baby']
40,bychloenguyen,['Fashion']
41,c.b.495,['Fashion']
42,cakhongmap,['beauty']
44,camquayphim,['tech_and_household']
45,changiu110,['Fashion']
46,chanhealthy,['health']
47,charminglae,['Beauty']
48,chikimhoang0310,['Beauty']
49,chinchin980322,[nan]
50,chiphamdaymakeuponline,['Beauty']
51,chloepham1002,['Beauty']
52,choubabi28,['Fashion']
53,chowunboxing,['beauty']
54,chu.chang.anh,['Beauty']
55,chucaofood,['food']
56,chukatureview,['beauty']
57,chutprincess,['Fashion']
58,ciin,['Beauty']
61,crushing.crunchy_,['mom_and_baby']
63,dangminhreview,['tech_and_household']
64,danphuongreview,['mom_and_baby']
65,daophantutrinh,['health']
66,decor_pc,['tech_and_household']
67,deniegem,['Fashion']
68,depngo1303,['Fashion']
69,dieutrinh_1407,['Fashion']
70,dinggv,['Beauty']
71,dinhh.24,['Beauty']
72,dinhquynhlan_,['Fashion']
73,do.hoang.quan,['food']
74,dqlam147,['Beauty']
75,dt.hacks,['tech_and_household']
76,dtuanh02,['beauty']
77,ducdongian.rv,['health']
78,dungomachi,['tech_and_household']
79,duongdeofficial,['tech_and_household']
80,duongocvlog,['Beauty']
81,duongthoanco,['Beauty']
82,duongtieuhuy99,['Beauty']
83,embeautyinc_news,['Beauty']
84,foxiereview,['Beauty']
85,gemsongnghe,['tech_and_household']
86,giadinhduahau07,['mom_and_baby']
87,giadinhmilkne,"['health', 'mom_and_baby']"
88,giadinhrisa,['health']
89,gialinhok,['mom_and_baby']
90,giangruby37,['mom_and_baby']
91,giangyen_,['Fashion']
92,giathilinh,['Fashion']
93,glambaby_,['Beauty']
94,goovietnam,['food']
95,hachanhsaneee,['Fashion']
96,haen826592,['Fashion']
97,haiphuongbathao,['beauty']
98,halinh_review_dobau,['mom_and_baby']
99,halinhofficial,['Beauty']
