iter	Passed	Remaining
0	112	33522
1	214	31942
2	319	31605
3	456	33774
4	580	34268
5	678	33249
6	782	32761
7	899	32829
8	1003	32460
9	1100	31925
10	1196	31434
11	1312	31500
12	1423	31422
13	1532	31306
14	1628	30947
15	1724	30604
16	1818	30272
17	1909	29912
18	1994	29495
19	2088	29238
20	2175	28904
21	2269	28676
22	2374	28600
23	2466	28367
24	2555	28109
25	2644	27872
26	2736	27672
27	2824	27438
28	2936	27444
29	3057	27519
30	3165	27466
31	3280	27471
32	3372	27286
33	3462	27085
34	3561	26966
35	3703	27160
36	3861	27447
37	3966	27351
38	4087	27353
39	4206	27343
40	4313	27249
41	4410	27093
42	4502	26911
43	4591	26715
44	4681	26528
45	4768	26332
46	4861	26171
47	4957	26026
48	5063	25936
49	5156	25784
50	5246	25614
51	5337	25455
52	5435	25330
53	5533	25207
54	5621	25043
55	5715	24902
56	5813	24785
57	5910	24660
58	6000	24511
59	6092	24370
60	6188	24245
61	6279	24104
62	6366	23948
63	6449	23782
64	6536	23632
65	6621	23475
66	6704	23316
67	6788	23161
68	6875	23016
69	6962	22877
70	7051	22743
71	7134	22594
72	7224	22466
73	7307	22316
74	7393	22180
75	7479	22043
76	7564	21906
77	7649	21770
78	7736	21643
79	7821	21509
80	7904	21372
81	8094	21518
82	8379	21906
83	8556	22003
84	8702	22012
85	8830	21972
86	8953	21920
87	9077	21868
88	9196	21803
89	9319	21745
90	9439	21678
91	9557	21608
92	9677	21540
93	9794	21463
94	9915	21395
95	10032	21318
96	10145	21232
97	10260	21149
98	10379	21073
99	10499	20998
100	10631	20947
101	10790	20945
102	10944	20932
103	11085	20891
104	11219	20836
105	11346	20765
106	11467	20684
107	11587	20599
108	11705	20511
109	11826	20427
110	11946	20341
111	12063	20250
112	12183	20161
113	12304	20075
114	12423	19985
115	12542	19895
116	12663	19806
117	12780	19711
118	12896	19615
119	13015	19523
120	13133	19429
121	13249	19331
122	13365	19233
123	13485	19140
124	13601	19041
125	13722	18949
126	13841	18854
127	13956	18754
128	14074	18657
129	14190	18556
130	14304	18453
131	14423	18357
132	14536	18252
133	14655	18155
134	14777	18060
135	14895	17962
136	15012	17861
137	15131	17763
138	15248	17661
139	15360	17555
140	15476	17452
141	15592	17349
142	15707	17245
143	15819	17137
144	15934	17033
145	16049	16928
146	16167	16827
147	16283	16723
148	16397	16617
149	16518	16518
150	16632	16411
151	16751	16310
152	16878	16216
153	17023	16138
154	17188	16079
155	17333	16000
156	17481	15923
157	17632	15846
158	17775	15763
159	17911	15672
160	18050	15583
161	18181	15487
162	18350	15423
163	18592	15417
164	18803	15384
165	18976	15318
166	19136	15240
167	19293	15159
168	19486	15105
169	19671	15043
170	19835	14963
171	19973	14864
172	20108	14761
173	20237	14655
174	20361	14543
175	20490	14436
176	20616	14326
177	20734	14211
178	20853	14096
179	20970	13980
180	21091	13867
181	21210	13751
182	21364	13659
183	21563	13594
184	21758	13525
185	21942	13448
186	22109	13360
187	22261	13262
188	22401	13156
189	22538	13048
190	22668	12936
191	22803	12826
192	22940	12718
193	23066	12603
194	23192	12488
195	23317	12372
196	23441	12256
197	23576	12145
198	23707	12032
199	23725	11862
200	23861	11752
201	23994	11640
202	24124	11527
203	24249	11411
204	24379	11297
205	24504	11181
206	24630	11065
207	24759	10951
208	24886	10835
209	25015	10720
210	25143	10605
211	25270	10489
212	25399	10374
213	25531	10260
214	25663	10145
215	25797	10032
216	25925	9916
217	26051	9799
218	26170	9679
219	26292	9560
220	26410	9440
221	26532	9322
222	26649	9201
223	26767	9081
224	26886	8962
225	27009	8843
226	27129	8724
227	27245	8603
228	27363	8483
229	27484	8364
230	27604	8245
231	27722	8125
232	27835	8004
233	27950	7883
234	28067	7763
235	28185	7643
236	28300	7522
237	28416	7402
238	28533	7282
239	28645	7161
240	28757	7040
241	28871	6919
242	28986	6799
243	29103	6679
244	29217	6559
245	29331	6438
246	29448	6319
247	29561	6198
248	29676	6078
249	29789	5957
250	29904	5837
251	30019	5718
252	30138	5598
253	30254	5479
254	30372	5359
255	30493	5241
256	30613	5122
257	30735	5003
258	30857	4884
259	30991	4767
260	31210	4663
261	31460	4562
262	31717	4462
263	31912	4351
264	32123	4242
265	32302	4128
266	32456	4011
267	32607	3893
268	32795	3779
269	32999	3666
270	33221	3555
271	33390	3437
272	33564	3319
273	33732	3200
274	33906	3082
275	34108	2965
276	34309	2848
277	34559	2734
278	34756	2616
279	34949	2496
280	35156	2377
281	35339	2255
282	35472	2130
283	35600	2005
284	35729	1880
285	35856	1755
286	35986	1630
287	36121	1505
288	36252	1379
289	36382	1254
290	36509	1129
291	36636	1003
292	36763	878
293	36896	752
294	37034	627
295	37169	502
296	37309	376
297	37486	251
298	37672	125
299	37848	0
